Augmentation,RepRequired,BasePrice,CurrentPrice,Category,AvailableFrom,Prereqs,Hacking_Deviation,Reputation_Deviation,MoneyWork_Deviation,Hacknet_Deviation,Combat_Deviation,Charisma_Deviation,Bladeburner_Deviation,Other_Deviation,Hacking_ValueDensity,Reputation_ValueDensity,MoneyWork_ValueDensity,Hacknet_ValueDensity,Combat_ValueDensity,Charisma_ValueDensity,Bladeburner_ValueDensity,Other_ValueDensity,hacking,hacking_chance,hacking_speed,hacking_money,hacking_grow,hacking_exp,faction_rep,company_rep,work_money,crime_money,crime_success,hacknet_node_money,hacknet_node_purchase_cost,hacknet_node_ram_cost,hacknet_node_core_cost,hacknet_node_level_cost,strength,strength_exp,defense,defense_exp,dexterity,dexterity_exp,agility,agility_exp,charisma,charisma_exp,bladeburner_max_stamina,bladeburner_stamina_gain,bladeburner_analysis,bladeburner_success_chance,dnet_money
SmartJaw,375000,5500000000,5500000000,Charisma; Reputation,Bachman & Associates,,,0.5,,,,1.0,,,,1.33e-06,,,,2.67e-06,,,,,,,,,1.25,1.25,,,,,,,,,,,,,,,,,1.5,1.5,,,,,
Synfibril Muscle,437500,2250000000,2250000000,Combat,KuaiGong International; Fulcrum Secret Technologies; Speakers for the Dead; NWO; The Covenant; Daedalus; Illuminati; Blade Industries; The Black Hand,,,,,,0.6,,,,,,,,1.37e-06,,,,,,,,,,,,,,,,,,,,1.3,,1.3,,,,,,,,,,,,
nextSENS Gene Modification,437500,3850000000,3850000000,Charisma; Combat; Hacking,Clarke Incorporated,,0.2,,,,0.8,0.2,,,4.6e-07,,,,1.83e-06,4.6e-07,,,1.2,,,,,,,,,,,,,,,,1.2,,1.2,,1.2,,1.2,,1.2,,,,,,
Graphene Bionic Arms Upgrade,500000,7500000000,7500000000,Combat,The Dark Army,Bionic Arms,,,,,1.7,,,,,,,,3.4e-06,,,,,,,,,,,,,,,,,,,,1.85,,,,1.85,,,,,,,,,,
PC Direct-Neural Interface Optimization Submodule,500000,9000000000,9000000000,Hacking; Reputation,Fulcrum Secret Technologies; ECorp; Blade Industries; The Black Hand,PC Direct-Neural Interface,0.1,0.75,,,,,,,2e-07,1.5e-06,,,,,,,1.1,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,
Neotra,562500,5750000000,5750000000,Charisma; Combat,Blade Industries; The Black Hand,,,,,,1.1,0.55,,,,,,,1.96e-06,9.8e-07,,,,,,,,,,,,,,,,,,,1.55,,1.55,,,,,,1.55,,,,,,
Photosynthetic Cells,562500,5500000000,5500000000,Charisma; Combat,KuaiGong International,,,,,,1.2,0.2,,,,,,,2.13e-06,3.6e-07,,,,,,,,,,,,,,,,,,,1.4,,1.4,,,,1.4,,1.2,,,,,,
Embedded Netburner Module Analyze Engine,625000,12000000000,12000000000,Hacking,ECorp; MegaCorp; Fulcrum Secret Technologies; NWO; Daedalus; The Covenant; Illuminati; The Black Hand,Embedded Netburner Module,0.1,,,,,,,,1.6e-07,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmniTek InfoLoad,625000,5750000000,5750000000,Hacking,OmniTek Incorporated; The Black Hand,,0.45,,,,,,,,7.2e-07,,,,,,,,1.2,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,
Graphene Bionic Legs Upgrade,750000,9000000000,9000000000,Combat,MegaCorp; ECorp; Fulcrum Secret Technologies; The Black Hand,Bionic Legs,,,,,1.5,,,,,,,,2e-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,
Synthetic Heart,750000,5750000000,5750000000,Charisma; Combat,KuaiGong International; Fulcrum Secret Technologies; Speakers for the Dead; NWO; The Covenant; Daedalus; Illuminati; The Black Hand,,,,,,1.0,0.3,,,,,,,1.33e-06,4e-07,,,,,,,,,,,,,,,,,,,1.5,,,,,,1.5,,1.3,,,,,,
BitRunners Neurolink,875000,8750000000,8750000000,Hacking,BitRunners,,0.5,,,,,,,,5.7e-07,,,,,,,,1.15,1.1,1.05,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,
NEMEAN Subdermal Weave,875000,6500000000,6500000000,Combat,The Syndicate; Fulcrum Secret Technologies; Illuminati; Daedalus; The Covenant; The Black Hand,,,,,,1.2,,,,,,,,1.37e-06,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,
Xanipher,875000,8500000000,8500000000,Charisma; Combat; Hacking,NWO; The Black Hand,,0.35,,,,1.4,0.35,,,4e-07,,,,1.6e-06,4e-07,,,1.2,,,,,1.15,,,,,,,,,,,1.2,1.15,1.2,1.15,1.2,1.15,1.2,1.15,1.2,1.15,,,,,
Embedded Netburner Module Core V2 Upgrade,1000000,9000000000,9000000000,Hacking,BitRunners; ECorp; MegaCorp; Fulcrum Secret Technologies; NWO; Blade Industries; OmniTek Incorporated; KuaiGong International; The Black Hand,Embedded Netburner Module Core Implant; Embedded Netburner Module,0.63,,,,,,,,6.3e-07,,,,,,,,1.08,1.05,1.05,1.3,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,
Embedded Netburner Module Direct Memory Access Upgrade,1000000,14000000000,14000000000,Hacking,ECorp; MegaCorp; Fulcrum Secret Technologies; NWO; Daedalus; The Covenant; Illuminati; The Black Hand,Embedded Netburner Module,0.6,,,,,,,,6e-07,,,,,,,,,1.2,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanek's Gift - Awakening,1000000,0,0,Charisma; Combat; Hacking; Hacknet; MoneyWork; Reputation,Church of the Machine God,Stanek's Gift - Genesis,0.333333,0.111111,0.166667,0.237374,0.444444,0.111111,,,3.3e-07,1.1e-07,1.7e-07,2.4e-07,4.4e-07,1.1e-07,,,1.055556,1.055556,1.055556,1.055556,1.055556,1.055556,1.055556,1.055556,1.055556,1.055556,1.055556,1.055556,0.954545,0.954545,0.954545,0.954545,1.055556,1.055556,1.055556,1.055556,1.055556,1.055556,1.055556,1.055556,1.055556,1.055556,,,,,
CordiARC Fusion Reactor,1125000,10000000000,10000000000,Combat,MegaCorp; The Black Hand,,,,,,2.8,,,,,,,,2.49e-06,,,,,,,,,,,,,,,,,,,,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,,,,,,,
Graphene Bone Lacings,1125000,8500000000,8500000000,Combat,Fulcrum Secret Technologies; The Covenant; The Black Hand,,,,,,1.4,,,,,,,,1.24e-06,,,,,,,,,,,,,,,,,,,,1.7,,1.7,,,,,,,,,,,,
Hydroflame Left Arm,1250000,5000000000000,5000000000000,Combat,NWO,,,,,,1.8,,,,,,,,1.44e-06,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,
SPTN-97 Gene Modification,1250000,9750000000,9750000000,Combat; Hacking,The Covenant,,0.15,,,,3.0,,,,1.2e-07,,,,2.4e-06,,,,1.15,,,,,,,,,,,,,,,,1.75,,1.75,,1.75,,1.75,,,,,,,,
ECorp HVMind Implant,1500000,11000000000,11000000000,Hacking,ECorp; The Black Hand,,2.0,,,,,,,,1.33e-06,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
PC Direct-Neural Interface NeuroNet Injector,1500000,15000000000,15000000000,Hacking; Reputation,Fulcrum Secret Technologies,PC Direct-Neural Interface,0.15,1.0,,,,,,,1e-07,6.7e-07,,,,,,,1.1,,1.05,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Graphene Bionic Spine Upgrade,1625000,12000000000,12000000000,Combat,Fulcrum Secret Technologies; ECorp; The Black Hand,Bionic Spine,,,,,2.4,,,,,,,,1.48e-06,,,,,,,,,,,,,,,,,,,,1.6,,1.6,,1.6,,1.6,,,,,,,,
Embedded Netburner Module Core V3 Upgrade,1750000,15000000000,15000000000,Hacking,ECorp; MegaCorp; Fulcrum Secret Technologies; NWO; Daedalus; The Covenant; Illuminati; The Black Hand,Embedded Netburner Module Core V2 Upgrade; Embedded Netburner Module Core Implant; Embedded Netburner Module,0.9,,,,,,,,5.1e-07,,,,,,,,1.1,1.1,1.05,1.4,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,
QLink,1875000,50000000000000,50000000000000,Hacking,Illuminati; The Black Hand,,6.25,,,,,,,,3.33e-06,,,,,,,,1.75,2.5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Red Pill,2500000,0,0,,Daedalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanek's Gift - Serenity,100000000,0,0,Charisma; Combat; Hacking; Hacknet; MoneyWork; Reputation,Church of the Machine God,Stanek's Gift - Awakening; Stanek's Gift - Genesis,0.315789,0.105263,0.157895,0.243108,0.421053,0.105263,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1.052632,1.052632,1.052632,1.052632,1.052632,1.052632,1.052632,1.052632,1.052632,1.052632,1.052632,1.052632,0.952381,0.952381,0.952381,0.952381,1.052632,1.052632,1.052632,1.052632,1.052632,1.052632,1.052632,1.052632,1.052632,1.052632,,,,,
